Date,Uncertainty
17/07/1996,4.568
25/05/2000,5.456
07/07/2001,5.156
09/09/2001,4.636
27/08/2002,4.791
21/06/2004,4.482
16/02/2005,5.071
27/08/2005,4.766
19/02/2006,4.49
11/06/2006,4.338
30/08/2006,4.641
15/09/2006,4.466
10/03/2007,4.891
11/04/2007,4.623
01/08/2007,4.426
02/09/2007,4.507
04/10/2007,5.084
28/03/2008,4.78
04/09/2008,4.64
21/07/2009,4.851
22/08/2009,4.482
25/10/2009,4.721
21/05/2010,4.522
10/09/2010,4.456
21/11/2016,1.0
21/11/2017,1.0
09/02/2018,1.0
06/03/2018,1.0
21/03/2018,1.0
20/05/2018,1.0
04/06/2018,1.0
19/06/2018,1.0
12/10/2018,1.0
11/03/2019,1.0
20/04/2019,1.0
10/05/2019,1.0
20/05/2019,1.0
19/06/2019,1.0
24/07/2019,1.0
18/08/2019,1.0
31/12/2019,1.0
29/05/2020,1.0
22/08/2020,1.0
21/09/2020,1.0
29/04/2021,1.0
29/05/2021,1.0
09/01/2022,1.0
20/03/2022,1.0
19/05/2022,1.0
